name,street,village_id,user_id
Tani Makmur III,Dusun Krajan,24,1137
Tani Makmur Lima,Dusun Suling,24,1138
Tani Makmur Satu,Dusun Krajan,24,1139
SUMBER REJEKI I,,18,1140
SUMBER REJEKI II,,18,1141
SUMBER REJEKI III,,18,1142
SUMBER REJEKI IV,,18,1143
SUMBER REJEKI IX,,18,1144
SUMBER REJEKI V,DUSUN KUMITIR RT:003 RW:007 DESA GRENDEN KECAMATAN PUGER,18,1145
SUMBER REJEKI VI,,18,1146
SUMBER REJEKI VII,,18,1147
SUMBER REJEKI VIII,,18,1148
Setia Budi 01,Jambearum,23,1149
Setia Budi 02,"Darungan, Jambearum",23,1150
Setia Budi 04,"Kedungsumur, Jambearum",23,1151
Setia Budi 05,"Krajan, Jambearum",23,1152
Setia Budi 06,"Krajan, Jambearum",23,1153
SETIA BUDI 7,DUSUN KEDUNGSUMUR DESA JAMBEARUM PUGER,23,1154
Setia Budi Tiga,Jambearum,23,1155
Tani Makmur VI,Krajan,20,1156
Tani Makmur VII,Gadungan,20,1157
Tani Makmur VIII,Gadungan,20,1158
Tani Makmur 12,Krajan II,21,1159
Tani Makmur 13,Krajan II,21,1160
Tani Makmur 14,Krajan I,21,1161
Tani Makmur 15,Krajan I,21,1162
Tani Makmur 16,Krajan I,21,1163
Tani Makmur 01,Krajan Barat,19,1164
Tani Makmur 02,Sembungan,19,1165
Tani Makmur 03,Krajan Barat,19,1166
Tani Makmur 04,Krajan Barat,19,1167
Tani Makmur V,Krajan Timur,19,1168
Tani Makmur VI,Krajan Timur,19,1169
Tani Makmur VII & VIII,Sembungan,19,1170
Margo Mulyo I,Krajan,14,1171
Margo Mulyo III,Krajan,14,1172
Margo Mulyo IV,Kalimalang,14,1173
Wargo Mulyo II,Krajan,14,1174
Wargo Mulyo Lima,Kalimalang,14,1175
Wargo Mulyo VI,Kalimalang,14,1176
SUBUR JAYA 04,DUSUN KRAJAN,15,1177
SUBUR JAYA I,DUSUN KRAJAN,15,1178
SUBUR JAYA III,DUSUN JADUKAN,15,1179
SUBUR JAYA VI,DUSUN JADUKAN,15,1180
SEKAR TANI I,,16,1181
SEKAR TANI II,,16,1182
SEKAR TANI III,,16,1183
agung rahayu 02,Krajan,17,1184
agung rahayu 03,Krajan,17,1185
agung rahayu IV,Krajan,17,1186
agung rahayu Satu,Krajan,17,1187
Bumi Asri,Krajan,22,1188
Bumi Ayu,Dusun Krajan Rt.001 Rw.005 Desa Wonosari,22,1189
Bumi Luhur,Lengkong,22,1190
Setia Budi Dua Belas,Penitik,22,1191
Setia Budi Sebelas,Dusun Penitik Rt.001 Rw.015 Desa Wonosari,22,1192
Setia Budi Tiga Belas,Penitik,22,1193
Sebelas Maret 03,Jln Banyu Urip,25,1194
Sebelas Maret II,Jln A Yani,25,1195
Sebelas Maret IV,Jln Gajah Mada,25,1196
Sebelas Maret Satu,Jln A Yani,25,1197
Subur Dua,Jln AB Sentot,25,1198
Subur Satu,Jln Untung Suropati,25,1199
Tani Rahayu I,Jln Hasanudin,25,1200
Tani Rahayu II,Jln Tembakaan,25,1201
Ampel Denta,,27,1202
Bina Mitra,DSN KEPEL DESA AMPEL,27,1203
Budidaya Tani,,27,1204
Daun Mas,,27,1205
Mekar Sari Dua,,27,1206
Mulya Tani,,27,1207
Ngudi Makmur Dua,,27,1208
Ngudi Makmur Satu,DUSUN POMO DESA AMPEL,27,1209
Podo Tentrem,,27,1210
Podo Rukun,,27,1211
Sido Rukun Dua,DUSUN KRAJAN,27,1212
Sido Rukun Satu,,27,1213
Sumber Rejeki Tiga,,27,1214
Tani Jaya,,27,1215
Aneka Maju,Dusun Gawok Desa Dukuh Dempok,30,1216
Aneka Tani,Gawok-Dukuhdempok,30,1217
Ikatan Petani Cabe/ IPC Gajah Mada,Desa Lojejer Kec. Wuluhan,30,1218
Lumbung Tani,Dukuh,30,1219
Margi Rahayu,Purwojati,30,1220
Rukun Tani,Wuluhan-Dukuhdempok,30,1221
Sinar Tani,Dusun Gawok Desa Dukuh Dempok,30,1222
Sumber Makmur,Purwojati-Dukuhdempok,30,1223
Tani Makmur,Dukuhdempok,30,1224
Lebah Madu,Krajan-Glundengan,32,1225
Padi Indah Dua,SUMBERJO GLUNDENGAN,32,1226
Padi Indah Satu,DUSUN SUMBERJO DESA GLUNDENGAN,32,1227
Rukun Tani,Tanjungsari-Glundengan,32,1228
Sumber Rejeki,Krajan-Glundengan,32,1229
Tanjung Harapan,Tanjungsari-Glundengan,32,1230
Tanjung Jaya,TANJUNGSARI DESA GLUNDENGAN,32,1231
Tebu Indah,Sumberjo-Glundengan,32,1232
Budi Santoso,Dsn Krajan,29,1233
Harapan Jaya,Dsn. Demangan,29,1234
Margi Rahayu,Dsn. Krajan,29,1235
Ngudi kaweruh,Dsn. Tegalbanteng,29,1236
Rukun Tani,Dsn. Krajan,29,1237
Rukun Wargo,Dsn. Demangan,29,1238
Sido Makmur,Dsn. Tegalbanteng,29,1239
Tani Makmur,Dsn. Tegalbanteng,29,1240
KARYA TANI I,DUSUN KEPEL DESA LOJEJER,26,1241
KARYA TANI II,DUSUN KEPEL DESA LOJEJER,26,1242
maju makmur,,26,1243
margi rahayu i,,26,1244
margi rahayu ii,,26,1245
sumber rejeki i,,26,1246
sumber rejeki ii,DSN SULAKDORO DESA LOJEJER,26,1247
SIDO HASIL I,Dusun Kebonsari Desa Tamansari Wuluhan Jember,31,1248
SIDO HASIL II,DUSUN KEBONSARI DESA TAMANSARI KECAMATAN WULUHAN,31,1249
SUMBER HASIL I,DUSUN GONDOSARI DESA TAMANSARI KECAMATAN WULUHAN,31,1250
SUMBER HASIL II,DUSUN TAMANREJO DESA TAMANSARI KECAMATAN WULUHAN,31,1251
SUMBER HASIL V,DUSUN KRAJAN DESA TAMANSARI KECAMATAN WULUHAN,31,1252
TIRTO ASIH I,DUSUN KRAJAN DESA TAMANSARI KECAMATAN WULUHAN,31,1253
TIRTO ASIH II,DUSUN KRAJAN DESA TAMANSARI KECAMATAN WULUHAN,31,1254
TIRTO ASIH III,DUSUN GONDOSARI DESA TAMANSARI KECAMATAN WULUHAN,31,1255
Maju Trisno Dua,Dsn.grobyok,28,1256
Maju Trisno Satu,Dsn.grobyok,28,1257
Margi Tani Dua,Dsn.krajan kulon,28,1258
Margi Tani Satu,Dsn.krajan kulon,28,1259
Margi Waluyo,Dsn.karangsono,28,1260
Rukun Makmur Dua,Dsn.krajan wetan,28,1261
Rukun Makmur Satu,Dsn.krajan wetan,28,1262
Sumber Barokah,Dsn.karangsono,28,1263
Langon Jaya,"Dusun langon,desa Ambulu",36,1264
Muncul Makmur,"Dusun Lagon, desa Ambulu",36,1265
Sumber Mulyo,"Dusun Sumberan, desa Ambulu",36,1266
Tani Mulyo,"Dusun Sumberan,desa Ambulu",36,1267
Tri Karya Bakti,"Dusu Krajan, desa Ambulu",36,1268
Karya Bakti,"Karangtemplek, Andongsari",34,1269
Karya Mulya,Tirtoasri Andongsari,34,1270
Karya Tani,"Tirtoasri, Andongsari",34,1271
Karya Utama,"Karangtemplek, Andongsari",34,1272
Margi Utomo,"Karangtemplek, Andongsari",34,1273
Margo Makmur I,Andongsari Krajan,34,1274
